model,v_measure,adjusted_rand_index
M2V_base_glove_subword,0.24811613981033465,0.03653305262059853
text-embedding-3-small,0.5443790401687184,0.18146596556828762
paraphrase-multilingual-MiniLM-L12-v2,0.3792465281816956,0.09745379654039775
potion-multilingual-128M,0.43267803360879176,0.09464166839372495
text-embedding-3-large,0.5460253306597541,0.17885444765746042
snowflake-arctic-embed-l-v2.0,0.5102255891857604,0.12457964560142727
multilingual-e5-large,0.49608186194396414,0.11646890974148044
Human,0.6125694383362725,0.15894032261456056
Qwen3-Embedding-Scandi-0.6B,0.40346794089866095,0.10867528012084117
multilingual-e5-base,0.5772753578035703,0.162017075863001
nb-sbert-base,0.45700474763747634,0.11987295925769985
model2vecdk-stem,0.28941397886370884,0.05932034106920237
M2V_base_glove,0.23375724120387792,0.025568396930189842
tfidf-char35,0.6368567640355275,0.11848770446798847
paraphrase-multilingual-mpnet-base-v2,0.4793324195449581,0.12909316733087833
text-embedding-ada-002,0.5798724110864666,0.16740718099220042
xlm-roberta-large,0.19787657227838634,0.010065217533116441
mmBERTscandi-base-embedding,0.43184268228921097,0.11664436839735771
potion-base-4M,0.46184259022766455,0.0949377467731997
potion-base-8M,0.4914005735982454,0.09898039926538124
m2v-dfm-large,0.25707772095300235,0.027395884872122772
Qwen3-Embedding-0.6B,0.359257745350865,0.08802062523402354
potion-base-2M,0.42572039457045135,0.09008904868764189
multilingual-e5-small,0.5259629334715199,0.11935767115229869
EmbeddingGemma-Scandi-300m,0.5518069146761289,0.16548352109636613
mxbai-embed-large-v1,0.4351497960709996,0.12045805878244822
xlm-roberta-base,0.17509779812112097,-0.0026912787855493253
LaBSE,0.5055887394339532,0.10379283782117911
static-similarity-mrl-multilingual-v1,0.16066207246238273,0.005858764825061212
M2V_base_output,0.257613684263752,0.029167409722761054
dfm-sentence-encoder-large,0.3262129286368429,0.08951682902852699
multilingual-e5-large-instruct,0.5213844069595261,0.15825571496893776
jaccard-binary,0.17558091305353654,0.006285747837839526
bge-m3,0.48970707488779264,0.14591942541792913
model2vecdk,0.25265072475879924,0.04183804701142736
