dataset,seed,v_measure,adjusted_rand_index
gov-ai,16,0.6730132052773719,0.09574468085106383
gov-ai,12,0.7836942966158698,0.40609137055837563
gov-ai,10,0.6980452520098481,0.26229508196721313
gov-ai,8,0.53522806197364,0.10082644628099173
gov-ai,17,0.5422088839297909,0.0008426374552348852
gov-ai,19,0.6339521424027169,0.11398963730569948
gov-ai,5,0.5136562817766478,0.013793103448275862
gov-ai,3,0.625159477018222,0.08695652173913043
gov-ai,18,0.6948268495986047,0.2680965147453083
gov-ai,7,0.7087242888296761,0.3914400356665181
gov-ai,0,0.6778417532321985,0.16730917501927525
gov-ai,9,0.7210007058792275,0.17771084337349397
gov-ai,14,0.5721401678454692,0.1766109785202864
gov-ai,1,0.6848479657160101,0.08768267223382047
