Rank (MMTEB),model_name,Rank (Borda)
0,text-embedding-3-large,15
1,multilingual-e5-large-instruct,18
2,Qwen3-Embedding-0.6B,21
3,multilingual-e5-large,27
4,bge-m3,30
5,text-embedding-3-small,33
6,snowflake-arctic-embed-l-v2.0,42
7,multilingual-e5-small,43
8,multilingual-e5-base,46
9,EmbeddingGemma-Scandi-300m,52
10,mmBERTscandi-base-embedding,53
11,nb-sbert-base,55
12,paraphrase-multilingual-mpnet-base-v2,67
13,dfm-sentence-encoder-large,69
14,LaBSE,70
15,paraphrase-multilingual-MiniLM-L12-v2,76
16,potion-multilingual-128M,77
17,Qwen3-Embedding-Scandi-0.6B,80
18,xlm-roberta-large,85
19,mxbai-embed-large-v1,87
20,static-similarity-mrl-multilingual-v1,90
21,xlm-roberta-base,95
22,m2v-dfm-large,124
23,model2vecdk,131
24,model2vecdk-stem,132
25,potion-base-8M,157
26,potion-base-4M,166
27,M2V_base_output,167
28,M2V_base_glove_subword,170
29,potion-base-2M,176
30,M2V_base_glove,186
31,text-embedding-ada-002,205
