q,stress,dataset
2,0.37551268381917663,welfare
5,0.2321187988701097,welfare
10,0.21004327597876846,welfare
20,0.20890133847479428,welfare
30,0.20890542723767472,welfare
50,0.20890393231173618,welfare
75,0.2089063111105697,welfare
100,0.20890945574564823,welfare
2,0.39677544143281473,gov-ai
5,0.251469677803187,gov-ai
10,0.22272074953917695,gov-ai
20,0.22106110598798592,gov-ai
30,0.22106246055109333,gov-ai
50,0.22106991030074266,gov-ai
75,0.22106965083110863,gov-ai
100,0.22106921733921625,gov-ai
2,0.39868048433580167,rai
5,0.24472927351159657,rai
10,0.21117241399805015,rai
20,0.20891596842334145,rai
30,0.20891828434473314,rai
50,0.20892189910697292,rai
75,0.20892361933648476,rai
100,0.20892434321326642,rai
